,similarity_scores_80,similarity_scores_85,similarity_scores_90,similarity_scores_95
Use of nearby fitness center (discount),"['Fitness centre (nearby)', 'Fitness Center', 'Health and fitness centre', 'Health or fitness facilities', 'Use of nearby fitness center (discount)', 'Use of nearby fitness center (complimentary)']","['Use of nearby fitness center (discount)', 'Use of nearby fitness center (complimentary)']","['Use of nearby fitness center (discount)', 'Use of nearby fitness center (complimentary)']",['Use of nearby fitness center (discount)']
1 lift,['1 lift'],['1 lift'],['1 lift'],['1 lift']
Family rooms,"['In-room safe (some rooms)', 'Family Rooms', 'Rooms/Facilities for Disabled Guests', 'Family rooms']","['Family Rooms', 'Family rooms']","['Family Rooms', 'Family rooms']","['Family Rooms', 'Family rooms']"
Room Size:30 sq m(323 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', '100-200 Sq.Feet', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room size (square meters)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Guide Service,['Guide Service'],['Guide Service'],['Guide Service'],['Guide Service']
Room Size:60 sq m(646 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', '100-200 Sq.Feet', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room size (square meters)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Airport Transfer,"['breakfast and one way airport transfer', 'Complimentary Airport/Railway Station Transfer', 'Airport/Rlwy Stn Transfer', 'Complimentary Airport/railway Station Transfer', 'Airport transportation free', 'Airport transportation', 'Airport Shuttle (free)', 'Airport Shuttle', 'Airport Transfer', 'Airport/Railway Station Transfer', 'Airport transfer (complimentary)', 'Airport transfer (price advised by hotel)']","['Complimentary Airport/Railway Station Transfer', 'Airport/Rlwy Stn Transfer', 'Complimentary Airport/railway Station Transfer', 'Airport Transfer', 'Airport/Railway Station Transfer', 'Airport transfer (complimentary)']","['Airport Transfer', 'Airport transfer (complimentary)']",['Airport Transfer']
Wi-Fi/Wireless LANMinibar,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi/Wireless LANBathroom Toiletries', 'Wi-Fi', 'Wi-Fi Internet access', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*', 'Chargeable Wi Fi Internet Connectivity']","['Wifi EnabledFree Wi-Fi', 'Wi-Fi/Wireless LANBathroom Toiletries', 'Wi-Fi', 'Wi-Fi Internet access', 'Wi-fi', 'Wi Fi Internet', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi']","['Wifi EnabledFree Wi-Fi', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar']","['Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar']"
Room cleaning service,"['24 hour room service', 'Laundry Service Same Day', 'Room Service', 'Room Service, 24 Hour Reception', 'Laundry Service', 'Shoe cleaning service', 'Dry cleaning/laundry service', 'Room service', 'Dry Cleaning Service', 'Laundry Service (At a charge)', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room cleaning service', 'Room service(limited hours)', '24-hour Room Service']","['Laundry Service Same Day', 'Room Service', 'Laundry Service', 'Shoe cleaning service', 'Dry cleaning/laundry service', 'Room service', 'Dry Cleaning Service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room cleaning service']","['Room Service', 'Room service', 'Room cleaning service']",['Room cleaning service']
Swimming (nearby),"['Swimming pools', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool', 'Beach Nearby', 'Swimming pool - indoor', 'Park Nearby', 'Spa (nearby)', 'Swimming pool - outdoor', 'Tennis (nearby)', 'Playground (nearby)', 'Swimming (nearby)', 'Aerobics (nearby)']","['Beach Nearby', 'Tennis (nearby)', 'Swimming (nearby)']",['Swimming (nearby)'],['Swimming (nearby)']
Music classes,['Music classes'],['Music classes'],['Music classes'],['Music classes']
Religious facilities,['Religious facilities'],['Religious facilities'],['Religious facilities'],['Religious facilities']
Computer rental,['Computer rental'],['Computer rental'],['Computer rental'],['Computer rental']
Patio-Property,"['Furnished patio', 'Patio', 'Patio-Property']",['Patio-Property'],['Patio-Property'],['Patio-Property']
Auditorium,['Auditorium'],['Auditorium'],['Auditorium'],['Auditorium']
Financial centre,"['Health centre', 'Business Centre', 'Business centre', 'Financial centre']","['Business Centre', 'Business centre', 'Financial centre']",['Financial centre'],['Financial centre']
Ironing Service,"['Laundry Service', 'Ironing service', 'Ironing Service']","['Laundry Service', 'Ironing service', 'Ironing Service']","['Ironing service', 'Ironing Service']","['Ironing service', 'Ironing Service']"
Full-sized refrigerator/freezer,"['Refrigerator', 'Mini Refrigerator', 'Refrigerator-Room', 'Fridge', 'Full-sized refrigerator/freezer']","['Refrigerator', 'Full-sized refrigerator/freezer']",['Full-sized refrigerator/freezer'],['Full-sized refrigerator/freezer']
Medical assistance available,"['Medical facilities', 'On-site medical assistance available', 'Medical services', 'Medical assistance available']","['On-site medical assistance available', 'Medical services', 'Medical assistance available']","['On-site medical assistance available', 'Medical assistance available']",['Medical assistance available']
Iron/ironing board(on request),"['Iron/ironing board', 'Iron/ironing board (on request)', 'Iron/Iron board', 'Ironing Board', 'Iron/ironing board(on request)']","['Iron/ironing board', 'Iron/ironing board (on request)', 'Ironing Board', 'Iron/ironing board(on request)']","['Iron/ironing board', 'Iron/ironing board (on request)', 'Iron/ironing board(on request)']","['Iron/ironing board (on request)', 'Iron/ironing board(on request)']"
